id	emotion	age	gender	angle	completeness 	transformation	hashtag
1	happy	Y	M	A	C	N	#2021
2	neutral	Y	F	F	C	N	#2021
3	happy	C	F	A	C	N	#2021
4	happy	Y	F	F	O	N	#2021
5	sad	O	M	A	C	N	#2021
6	neutral	Y	M	F	C	N	#2021
7	sad	Y	F	F	C	N	#2021
8	surprised	Y	M	F	O	N	#2021
9	angry	Y	M	F	C	N	#2021
10	happy	Y	F	F	C	N	#2021
11	sad	Y	F	F	O	N	#2021
12	neutral	Y	F	F	C	N	#2021
13	surprised	Y	M	F	C	R	#2021
14	happy	Y	F	F	C	N	#2021
15	sad	Y	M	F	C	N	#2021
16	surprised	Y	M	F	C	N	#2021
17	happy	Y	F	F	C	N	#2021
18	surprised	Y	M	A	C	R	#2021
19	happy	C	F	F	C	N	#2021
20	sad	Y	M	A	O	N	#2021
21	neutral	Y	M	F	O	N	#2021
22	neutral	Y	M	F	C	N	#2021
23	sad	Y	M	F	C	N	#love
24	sad	Y	F	F	O	N	#love
25	neutral	Y	M	F	C	N	#love
26	sad	Y	M	A	C	N	#love
27	surprised	Y	M	F	C	N	#love
28	neutral	Y	M	F	C	R	#love
29	happy	C	F	F	O	R	#love
30	sad	Y	M	F	O	N	#love
31	happy	Y	F	A	C	N	#love
32	sad	Y	M	F	C	N	#love
33	sad	Y	F	A	C	N	#monday
34	neutral	Y	F	F	C	N	#monday
35	neutral	Y	M	F	O	N	#monday
36	sad	Y	M	A	C	N	#monday
37	happy	Y	F	A	C	N	#monday
38	happy	Y	F	F	C	N	#monday
39	sad	Y	M	F	C	R	#monday
40	sad	Y	M	F	O	N	#monday
41	neutral	Y	F	A	O	N	#monday
42	neutral	Y	M	F	C	N	#monday
43	neutral	Y	M	F	C	N	#monday
44	sad	Y	F	F	O	R	#monday
45	neutral	Y	M	A	C	N	#sad
46	sad	Y	M	F	C	N	#sad
47	sad	Y	F	F	O	R	#sad
48	neutral	Y	M	A	C	N	#sad
49	angry	Y	M	F	O	N	#sad
50	sad	Y	M	A	O	R	#sad
51	neutral	Y	M	F	C	R	#life
52	neutral	C	M	F	C	N	#life
53	neutral	Y	M	A	C	N	#life
54	angry	Y	M	F	C	N	#life
55	neutral	Y	F	F	C	N	#life
56	surprised	Y	M	F	O	N	#life
57	happy	Y	M	F	C	N	#life
58	neutral	Y	M	F	C	N	#life
59	neutral	Y	F	F	C	N	#life
60	sad	Y	M	A	C	N	#life
61	neutral	Y	M	F	C	N	#life
62	happy	Y	M	F	C	N	#life
63	happy	Y	M	F	O	N	#life
64	happy	Y	M	F	C	N	#life
65	happy	Y	M	F	C	N	#life
66	happy	Y	M	F	C	R	#life
67	happy	Y	M	F	C	N	#life
68	sad	Y	F	F	O	N	#life
69	neutral	Y	M	A	C	N	#life
70	happy	Y	M	F	C	N	#life
71	angry	Y	M	F	C	N	#life
72	neutral	Y	F	F	C	R	#life
73	surprised	Y	M	A	C	N	#life
74	neutral	Y	F	F	C	N	#life
75	neutral	Y	M	F	C	N	#life
76	neutral	Y	M	A	C	N	#me
77	happy	Y	M	F	C	N	#me
78	happy	Y	M	F	C	R	#me
79	sad	Y	F	F	C	N	#me
80	happy	Y	M	F	C	R	#me
81	neutral	Y	M	F	C	N	#me
82	surprised	Y	F	F	C	N	#me
83	neutral	Y	M	F	C	N	#me
84	sad	Y	F	A	C	N	#me
85	happy	Y	F	F	C	N	#me
86	sad	Y	M	F	C	N	#me
87	angry	Y	M	A	C	R	#me
88	neutral	Y	M	F	C	N	#me
89	neutral	Y	M	F	C	R	#me
90	sad	Y	M	F	C	N	#me
91	neutral	Y	M	F	C	R	#me
92	surprised	Y	F	A	C	R	#me
93	happy	Y	M	F	C	N	#me
94	happy	Y	M	F	C	N	#me
95	sad	Y	F	F	C	N	#me
96	sad	Y	M	A	C	N	#me
97	surprised	Y	M	F	C	N	#me
98	happy	Y	M	A	C	N	#me
99	angry	Y	M	F	C	N	#me
100	neutral	Y	M	F	C	N	#me
101	sad	Y	F	A	C	N	#mood
102	sad	Y	M	A	C	N	#mood
103	neutral	Y	M	A	C	N	#mood
104	sad	Y	M	A	C	N	#mood
105	happy	Y	F	F	C	N	#mood
106	happy	Y	M	F	C	N	#mood
107	neutral	Y	M	F	C	N	#mood
108	happy	Y	F	F	C	N	#mood
109	neutral	Y	M	A	C	N	#mood
110	sad	Y	F	F	C	N	#mood
111	neutral	Y	F	F	C	N	#mood
112	happy	Y	F	F	C	N	#mood
113	neutral	Y	M	F	C	N	#mood
114	neutral	Y	F	F	C	N	#mood
115	happy	Y	F	F	C	R	#mood
116	happy	Y	F	A	C	N	#mood
117	neutral	Y	M	F	C	N	#mood
118	happy	Y	M	F	C	N	#mood
119	neutral	Y	M	F	C	R	#mood
120	happy	Y	F	F	C	N	#mood
121	neutral	C	F	F	C	N	#mood
122	sad	Y	M	F	C	N	#mood
123	neutral	Y	F	F	C	R	#mood
124	neutral	Y	M	F	C	N	#mood
125	sad	Y	F	F	C	N	#mood
126	happy	Y	F	F	C	N	#portrait
127	happy	Y	F	F	C	N	#portrait
128	sad	Y	M	A	C	N	#portrait
129	happy	Y	M	F	C	N	#portrait
130	angry	Y	M	A	C	R	#portrait
131	surprised	Y	F	F	C	N	#portrait
132	happy	Y	F	F	C	N	#portrait
133	neutral	Y	M	F	C	N	#portrait
134	sad	Y	F	F	C	N	#portrait
135	sad	Y	M	F	C	N	#portrait
136	sad	Y	F	F	C	R	#portrait
137	sad	Y	F	F	C	R	#portrait
138	happy	Y	M	F	C	N	#portrait
139	happy	Y	F	F	C	N	#portrait
140	happy	Y	F	F	C	N	#portrait
141	neutral	Y	M	F	C	R	#portrait
142	happy	Y	M	A	C	R	#portrait
143	neutral	Y	M	A	C	N	#portrait
144	neutral	Y	M	F	C	N	#portrait
145	neutral	Y	M	F	C	N	#portrait
146	happy	Y	F	F	C	R	#portrait
147	sad	Y	M	F	C	N	#portrait
148	sad	Y	F	F	C	N	#portrait
149	happy	Y	F	F	C	N	#portrait
150	angry	Y	M	A	C	R	#portrait
151	sad	Y	M	F	C	N	#selfie
152	neutral	Y	M	F	C	N	#selfie
153	happy	Y	F	F	O	N	#selfie
154	neutral	Y	M	F	C	R	#selfie
155	happy	Y	M	F	C	R	#selfie
156	happy	Y	M	A	C	N	#selfie
157	sad	O	F	F	C	N	#selfie
158	sad	Y	M	A	C	R	#selfie
159	neutral	Y	F	F	C	R	#selfie
160	neutral	Y	M	F	C	N	#selfie
161	happy	Y	M	A	C	N	#selfie
162	happy	Y	M	F	C	N	#selfie
163	sad	Y	F	F	O	N	#selfie
164	neutral	Y	F	F	C	R	#selfie
165	neutral	Y	M	F	O	R	#selfie
166	neutral	Y	M	F	C	N	#selfie
167	neutral	Y	M	F	C	N	#selfie
168	neutral	Y	M	F	C	N	#selfie
169	neutral	Y	M	F	C	N	#selfie
170	neutral	Y	F	F	C	R	#selfie
171	sad	Y	M	F	C	N	#selfie
172	happy	Y	M	F	C	R	#selfie
173	sad	Y	F	F	C	R	#selfie
174	neutral	Y	M	F	C	N	#selfie
175	sad	Y	M	F	C	N	#selfie
176	sad	Y	M	F	C	N	#work
177	neutral	Y	M	F	C	N	#work
178	happy	Y	M	A	C	N	#work
179	angry	Y	M	F	C	R	#work
180	happy	Y	M	F	C	N	#work
181	neutral	Y	F	F	C	R	#work
182	happy	Y	F	F	C	N	#work
183	neutral	Y	F	A	C	N	#work
184	happy	Y	M	F	C	N	#work
185	happy	Y	F	A	C	N	#work
186	happy	Y	F	F	C	N	#work
187	neutral	Y	M	F	C	R	#work
188	happy	Y	M	F	C	N	#work
189	happy	Y	M	F	C	N	#work
190	neutral	Y	F	F	C	N	#work
191	neutral	Y	M	F	C	N	#work
192	happy	Y	F	F	C	N	#work
193	neutral	Y	M	A	O	R	#work
194	neutral	Y	M	F	C	N	#work
195	happy	Y	F	F	C	N	#work
196	sad	Y	M	F	C	N	#work
197	sad	Y	M	F	C	N	#work
198	neutral	Y	M	F	C	N	#work
199	sad	Y	F	A	O	N	#work
200	happy	Y	M	F	C	N	#work
