actual,predicted
happy,happy
neutral,happy
happy,fearful
happy,happy
sad,fearful
neutral,happy
sad,neutral
surprised,happy
angry,neutral
happy,happy
sad,sad
neutral,neutral
surprised,surprised
happy,happy
sad,fearful
surprised,fearful
happy,happy
surprised,happy
happy,happy
sad,surprised
neutral,sad
neutral,happy
sad,fearful
sad,happy
neutral,neutral
sad,fearful
surprised,neutral
neutral,happy
happy,happy
sad,angry
happy,happy
sad,neutral
sad,happy
neutral,neutral
neutral,happy
sad,fearful
happy,happy
happy,happy
sad,angry
sad,sad
neutral,sad
neutral,neutral
neutral,neutral
sad,happy
neutral,fearful
sad,fearful
sad,neutral
neutral,fearful
angry,happy
sad,fearful
neutral,neutral
neutral,surprised
neutral,happy
angry,neutral
neutral,happy
surprised,happy
happy,happy
neutral,fearful
neutral,neutral
sad,angry
neutral,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,fearful
neutral,angry
happy,happy
angry,neutral
neutral,happy
surprised,fearful
neutral,happy
neutral,happy
neutral,happy
happy,fearful
happy,fearful
sad,happy
happy,neutral
neutral,neutral
surprised,happy
neutral,happy
sad,angry
happy,happy
sad,happy
angry,fearful
neutral,sad
neutral,happy
sad,neutral
neutral,neutral
surprised,fearful
happy,happy
happy,happy
sad,happy
sad,happy
surprised,neutral
happy,neutral
angry,angry
neutral,surprised
sad,sad
sad,neutral
neutral,fearful
sad,neutral
happy,happy
happy,happy
neutral,happy
happy,happy
neutral,happy
sad,neutral
neutral,neutral
happy,happy
neutral,happy
neutral,neutral
happy,fearful
happy,happy
neutral,sad
happy,happy
neutral,angry
happy,happy
neutral,neutral
sad,happy
neutral,fearful
neutral,neutral
sad,fearful
happy,happy
happy,happy
sad,happy
happy,happy
angry,sad
surprised,happy
happy,happy
neutral,happy
sad,fearful
sad,angry
sad,sad
sad,neutral
happy,happy
happy,happy
happy,happy
neutral,angry
happy,sad
neutral,neutral
neutral,fearful
neutral,neutral
happy,happy
sad,neutral
sad,happy
happy,happy
angry,neutral
sad,neutral
neutral,happy
happy,happy
neutral,neutral
happy,happy
happy,neutral
sad,sad
sad,happy
neutral,happy
neutral,neutral
happy,happy
happy,happy
sad,fearful
neutral,happy
neutral,fearful
neutral,fearful
neutral,fearful
neutral,neutral
neutral,neutral
neutral,neutral
sad,neutral
happy,happy
sad,happy
neutral,neutral
sad,neutral
sad,happy
neutral,angry
happy,happy
angry,neutral
happy,happy
neutral,neutral
happy,happy
neutral,happy
happy,happy
happy,happy
happy,happy
neutral,sad
happy,happy
happy,happy
neutral,neutral
neutral,happy
happy,happy
neutral,neutral
neutral,neutral
happy,happy
sad,neutral
sad,fearful
neutral,neutral
sad,happy
happy,happy
